feature,mean_abs_shap
cat__Flow ID_192.168.10.3-192.168.10.15-53-58522-17,1.6035108440826147e-06
cat__ Destination IP_35.160.253.195,1.6021480880025649e-06
cat__ Destination IP_52.84.3.219,1.5997794284082214e-06
cat__ Destination IP_23.46.61.150,1.596584026965436e-06
cat__Flow ID_172.16.0.1-192.168.10.50-22237-80-6,1.5948051755290777e-06
cat__Flow ID_172.16.0.1-192.168.10.50-19179-80-6,1.5390274351738123e-06
cat__Flow ID_172.16.0.1-192.168.10.50-55524-80-6,1.5270316895166452e-06
cat__ Source IP_74.119.118.94,1.5115503095086853e-06
cat__Flow ID_192.168.10.12-61.251.165.12-36940-80-6,1.487755339200025e-06
cat__Flow ID_192.168.10.9-199.59.148.85-9294-443-6,1.4703672339587724e-06
cat__ Destination IP_172.217.10.132,1.4439477763728545e-06
cat__ Destination IP_138.108.50.100,1.4371705798081678e-06
cat__ Destination IP_66.235.147.240,1.4319719662347545e-06
cat__Flow ID_192.168.10.1-192.168.10.3-53-62274-17,1.4114210004436603e-06
cat__Flow ID_192.168.10.5-192.168.10.50-56055-13759-6,1.4053138592326506e-06
cat__Flow ID_172.16.0.1-192.168.10.50-62105-80-6,1.4035745607052892e-06
cat__ Destination IP_172.224.5.142,1.3758645910798958e-06
cat__ Destination IP_151.101.46.2,1.3637392045551611e-06
cat__Flow ID_192.168.10.1-192.168.10.3-53-61683-17,1.3568711465897982e-06
cat__Flow ID_172.16.0.1-192.168.10.50-53435-80-6,1.3447090667832131e-06
cat__Flow ID_192.168.10.15-211.218.152.146-58044-443-6,1.3402167335581834e-06
cat__Flow ID_172.16.0.1-192.168.10.50-54911-80-6,1.3362943200831475e-06
cat__ Destination IP_35.187.104.107,1.2974158607163726e-06
cat__Flow ID_172.217.10.2-192.168.10.5-443-55370-6,1.2728228530059749e-06
cat__ Destination IP_198.51.152.183,1.2669448074883957e-06
cat__Flow ID_172.16.0.1-192.168.10.50-54583-80-6,1.2585233024217283e-06
cat__Flow ID_192.168.10.9-216.200.232.61-8808-443-6,1.2540786369286594e-06
cat__Flow ID_192.168.10.16-192.229.163.213-51020-443-6,1.2482128477633235e-06
cat__Flow ID_172.16.0.1-192.168.10.50-54203-80-6,1.2462487332069063e-06
cat__ Destination IP_104.97.122.16,1.2421413102881361e-06
cat__ Destination IP_213.180.193.119,1.2384296885240936e-06
cat__Flow ID_172.16.0.1-192.168.10.50-52900-80-6,1.226364053067352e-06
cat__Flow ID_192.168.10.17-64.210.147.104-55492-443-6,1.2163728813783759e-06
cat__ Destination IP_52.84.145.229,1.208017698972119e-06
cat__Flow ID_172.16.0.1-192.168.10.50-52471-80-6,1.1928654098046106e-06
cat__Flow ID_172.16.0.1-192.168.10.50-56464-80-6,1.165837524246695e-06
cat__ Destination IP_61.110.225.88,1.1549805441305844e-06
cat__Flow ID_172.16.0.1-192.168.10.50-56253-80-6,1.1408671236009201e-06
cat__Flow ID_185.13.88.201-192.168.10.17-443-38202-6,1.1242411392821041e-06
cat__Flow ID_172.16.0.1-192.168.10.50-19248-80-6,1.1176776716010676e-06
cat__Flow ID_172.16.0.1-192.168.10.50-53857-80-6,1.1149290530064224e-06
cat__Flow ID_172.16.0.1-192.168.10.50-53282-80-6,1.0937124619518842e-06
cat__ Destination IP_74.217.63.52,1.0720888925905298e-06
cat__ Destination IP_23.23.160.161,1.071051575711105e-06
cat__Flow ID_172.217.10.2-192.168.10.16-443-58734-6,1.067512784545594e-06
cat__Flow ID_192.168.10.16-74.119.118.94-33604-443-6,1.0626301224131325e-06
cat__Flow ID_172.16.0.1-192.168.10.50-56403-80-6,1.0616335448355602e-06
cat__ Destination IP_139.224.5.185,1.0595205304145626e-06
cat__ Source IP_50.63.243.230,1.0520051562609343e-06
cat__Flow ID_172.16.0.1-192.168.10.50-23626-80-6,1.0313948111903972e-06
cat__Flow ID_192.168.10.1-192.168.10.3-53-60388-17,1.0089410978971605e-06
cat__Flow ID_192.168.10.15-31.13.80.2-58503-443-6,1.0080253345045633e-06
cat__Flow ID_172.16.0.1-192.168.10.50-21061-80-6,9.905038997920672e-07
cat__Flow ID_172.16.0.1-192.168.10.50-52311-80-6,9.903360659154407e-07
cat__Flow ID_172.16.0.1-192.168.10.50-51945-80-6,9.900888991822295e-07
cat__ Destination IP_104.97.125.160,9.85771825167808e-07
cat__Flow ID_172.16.0.1-192.168.10.50-54863-80-6,9.69381558607835e-07
cat__ Destination IP_121.78.124.148,9.680169350626743e-07
cat__Flow ID_172.16.0.1-192.168.10.50-18088-80-6,9.582616472775828e-07
cat__ Source IP_172.217.12.162,9.275565548003154e-07
cat__Flow ID_172.16.0.1-192.168.10.50-57648-80-6,9.20987064602095e-07
cat__Flow ID_192.168.10.15-205.234.175.175-58446-443-6,9.158524889307021e-07
cat__Flow ID_172.16.0.1-192.168.10.50-56673-80-6,8.965279597988522e-07
cat__Flow ID_172.16.0.1-192.168.10.50-51203-80-6,8.240113971487467e-07
cat__Flow ID_172.16.0.1-192.168.10.50-57037-80-6,8.20833153038058e-07
cat__Flow ID_172.16.0.1-192.168.10.50-17428-80-6,7.808391741646402e-07
cat__Flow ID_172.16.0.1-192.168.10.50-57016-80-6,7.668632507834734e-07
cat__Flow ID_172.16.0.1-192.168.10.50-57129-80-6,7.645044602048736e-07
cat__Flow ID_172.16.0.1-192.168.10.50-54313-80-6,7.586737210110649e-07
cat__ Destination IP_52.38.5.243,7.363611709259936e-07
cat__Flow ID_192.168.10.19-63.251.252.12-50075-80-6,7.272023493907378e-07
cat__ Source IP_23.52.155.27,7.01348364588e-07
cat__Flow ID_172.16.0.1-192.168.10.50-56700-80-6,7.006575555761159e-07
cat__Flow ID_172.16.0.1-192.168.10.50-52648-80-6,6.953837961228641e-07
cat__Flow ID_178.255.83.1-192.168.10.9-80-9427-6,6.673333982887598e-07
cat__Flow ID_172.16.0.1-192.168.10.50-23581-80-6,6.586563120820628e-07
cat__Flow ID_172.16.0.1-192.168.10.50-56312-80-6,6.523452756184373e-07
cat__ Source IP_169.60.66.39,6.494640515161709e-07
cat__ Destination IP_75.98.9.196,5.900773476317218e-07
cat__Flow ID_172.16.0.1-192.168.10.50-57661-80-6,5.760696886691622e-07
cat__Flow ID_172.16.0.1-192.168.10.50-58249-80-6,5.736460227675205e-07
cat__Flow ID_172.16.0.1-192.168.10.50-17758-80-6,5.672032106731389e-07
cat__Flow ID_172.16.0.1-192.168.10.50-14352-80-6,5.661269125135773e-07
cat__Flow ID_172.16.0.1-192.168.10.50-22281-80-6,5.559290692465838e-07
cat__Flow ID_172.16.0.1-192.168.10.50-19938-80-6,5.494691809641104e-07
cat__ Destination IP_104.97.139.173,5.470923054805514e-07
cat__Flow ID_172.16.0.1-192.168.10.50-55187-80-6,5.402003588509282e-07
cat__Flow ID_172.16.0.1-192.168.10.50-54046-80-6,5.39824531836495e-07
cat__Flow ID_172.16.0.1-192.168.10.50-21010-80-6,5.351903571228613e-07
cat__Flow ID_172.16.0.1-192.168.10.50-58896-80-6,5.230338378732288e-07
cat__Flow ID_192.168.10.5-34.198.228.128-55502-443-6,5.185465676421463e-07
cat__ Destination IP_52.84.143.124,5.032455795084553e-07
cat__ Destination IP_209.85.232.108,4.930470931680261e-07
cat__Flow ID_172.16.0.1-192.168.10.50-14817-80-6,4.711097604252593e-07
cat__Flow ID_192.168.10.5-23.46.61.150-55829-443-6,4.590085794636645e-07
cat__Flow ID_172.16.0.1-192.168.10.50-51393-80-6,4.5230794078252614e-07
cat__Flow ID_172.16.0.1-192.168.10.50-56388-80-6,4.471394387152878e-07
cat__Flow ID_172.16.0.1-192.168.10.50-18367-80-6,4.3907443490223447e-07
cat__Flow ID_172.16.0.1-192.168.10.50-22336-80-6,4.313744860093349e-07
cat__Flow ID_172.16.0.1-192.168.10.50-53453-80-6,4.2558240343395627e-07
cat__Flow ID_172.16.0.1-192.168.10.50-16745-80-6,4.1094463023448954e-07
cat__ Source IP_172.217.12.142,4.091368321695869e-07
cat__Flow ID_172.16.0.1-192.168.10.50-59638-80-6,3.942101420345024e-07
cat__Flow ID_172.16.0.1-192.168.10.50-53926-80-6,3.907518452647736e-07
cat__Flow ID_172.16.0.1-192.168.10.50-52464-80-6,3.8719292318762593e-07
cat__Flow ID_172.16.0.1-192.168.10.50-51613-80-6,3.6512398596837844e-07
cat__Flow ID_172.16.0.1-192.168.10.50-57488-80-6,3.579596234904343e-07
cat__Flow ID_172.16.0.1-192.168.10.50-58027-80-6,3.393051913226164e-07
cat__Flow ID_192.168.10.1-192.168.10.3-53-60302-17,3.3881428654029726e-07
cat__Flow ID_172.16.0.1-192.168.10.50-53462-80-6,3.3432757793764917e-07
cat__Flow ID_172.16.0.1-192.168.10.50-51990-80-6,3.3181906554826496e-07
cat__Flow ID_172.16.0.1-192.168.10.50-22634-80-6,3.28265610878816e-07
cat__Flow ID_172.16.0.1-192.168.10.50-19412-80-6,3.256514046556527e-07
cat__Flow ID_172.16.0.1-192.168.10.50-22665-80-6,3.2552046455114487e-07
cat__Flow ID_172.16.0.1-192.168.10.50-61033-80-6,3.181341704113229e-07
cat__Flow ID_172.16.0.1-192.168.10.50-18063-80-6,3.142492550346369e-07
cat__ Source IP_151.101.45.108,3.126497262050443e-07
cat__Flow ID_172.16.0.1-192.168.10.50-56983-80-6,3.0762617209320745e-07
cat__Flow ID_172.16.0.1-192.168.10.50-54675-80-6,2.993095655611125e-07
cat__Flow ID_172.16.0.1-192.168.10.50-61730-80-6,2.8596418520115337e-07
cat__Flow ID_172.16.0.1-192.168.10.50-52583-80-6,2.708970409903777e-07
cat__Flow ID_172.16.0.1-192.168.10.50-16837-80-6,2.708814846170668e-07
cat__Flow ID_172.16.0.1-192.168.10.50-55440-80-6,2.704941290538904e-07
cat__Flow ID_172.16.0.1-192.168.10.50-58137-80-6,2.6061555560704176e-07
cat__Flow ID_172.16.0.1-192.168.10.50-57444-80-6,2.598170406421603e-07
cat__Flow ID_172.16.0.1-192.168.10.50-55228-80-6,2.5804920244968574e-07
cat__Flow ID_172.16.0.1-192.168.10.50-54689-80-6,2.472874497842523e-07
